attack_arm_id,cost_bps,common_start,mean_daily_target_weight,dynamic_cagr,dynamic_sharpe,dynamic_mdd,dynamic_ann_vol,dynamic_beta,dynamic_turnover,dynamic_cost,static_cagr,static_mdd,active_terminal_wealth
A4__RET126_LVL,0,2009-01-05,0.6401283618581907,0.08827779559735949,0.8242601443528896,-0.2323544359387949,0.11001130529062471,0.58635709183765,36.253994113057445,0.0,0.10304246653162452,-0.22751931938073366,-0.1605190289031273
A4__RET126_LVL,5,2009-01-05,0.6401283618581907,0.08675934380893668,0.8116346379569891,-0.2325715527818848,0.11000034074473033,0.5863093459782382,36.253994113057445,0.0318401312294051,0.10290731880291659,-0.22755396271901074,-0.17428835121284936
A4__RET126_LVL,10,2009-01-05,0.6401283618581907,0.08524265270509068,0.7989852889142153,-0.23278865650946412,0.10999231188739064,0.5862614811481007,36.253994113057445,0.0630305043524156,0.10277217850403852,-0.22758860486995136,-0.18783521773729484
A4__RET126_LVL,20,2009-01-05,0.6401283618581907,0.08221454601121736,0.773619080977296,-0.2332228246196424,0.10998506357494589,0.5861653952700131,36.253994113057445,0.1235104990416704,0.1025019201787476,-0.22765788560993772,-0.21427568449445455
A4__SMA_GAP_LVL,0,2009-01-05,0.617359413202934,0.07728412315247968,0.672973494925509,-0.31206871244234324,0.1217394255534938,0.6434825324440626,10.484541077240198,0.0,0.09959439173633555,-0.22013970780965675,-0.23367681186237055
A4__SMA_GAP_LVL,5,2009-01-05,0.617359413202934,0.07684921918902532,0.6696011145447305,-0.3122449705707554,0.12175199382005875,0.6435399627684916,10.484541077240197,0.00783219497771637,0.09945788985066017,-0.2201754973872967,-0.236454189764445
A4__SMA_GAP_LVL,10,2009-01-05,0.617359413202934,0.0764144024858231,0.6662258126503361,-0.3124212265609799,0.12176522328402713,0.6435972148802641,10.484541077240198,0.015619343896073053,0.0993213963948485,-0.22021128570949267,-0.23922223555116584
A4__SMA_GAP_LVL,20,2009-01-05,0.617359413202934,0.07554503082874109,0.6594666728362043,-0.31277373212686577,0.1217936649315592,0.6437111836284761,10.484541077240197,0.031059437284313273,0.09904843475711833,-0.2202828585876775,-0.24473044612825212
A4__DRAWDOWN252_LVL,0,2009-01-05,0.6749694376528117,0.0932050418914816,0.9251198884484239,-0.20047963925429102,0.1019753563515428,0.5506418013676531,80.53691364902826,0.0,0.10830751669704064,-0.23870438580182063,-0.1631799122086739
A4__DRAWDOWN252_LVL,5,2009-01-05,0.6749694376528117,0.08981945981936823,0.8946818371710996,-0.20111430539924247,0.10197689117185849,0.5506577484446477,80.53691364902826,0.07785460687722345,0.10817540840881756,-0.23873700485587013,-0.1949668003041216
A4__DRAWDOWN252_LVL,10,2009-01-05,0.6749694376528117,0.08644354231561358,0.8641850888032533,-0.20174861714516323,0.10198546067821473,0.5506736038059883,80.53691364902826,0.15212278090317244,0.10804330575604393,-0.23876962284212067,-0.2255537539010597
A4__DRAWDOWN252_LVL,20,2009-01-05,0.6749694376528117,0.0797206000537567,0.8030408850608496,-0.20301617791328297,0.10202369520332956,0.5507050391489042,80.53691364902826,0.2904996361807749,0.10777911733750178,-0.23883485561132345,-0.28330623334035243
A4__SKEW63_LVL,0,2009-01-05,0.5967298288508558,0.10225267864570053,0.9606232751046967,-0.20042793634798095,0.10737313014432098,0.5743849236134743,25.626530975272846,0.0,0.09646542637830935,-0.2134053389153331,0.07074136606209147
A4__SKEW63_LVL,5,2009-01-05,0.5967298288508558,0.1011653380353501,0.9514852767245481,-0.200658858018539,0.10736592442314279,0.5743472426026591,25.626530975272843,0.020970733346199654,0.09632812455326678,-0.21344204314007398,0.058827841985604534
A4__SKEW63_LVL,10,2009-01-05,0.5967298288508558,0.10007881161521559,0.942327110468982,-0.20088976323315,0.10736087666336164,0.5743100686898568,25.626530975272843,0.04163083067786327,0.09619083194300071,-0.21347874605547157,0.047043777948662324
A4__SKEW63_LVL,20,2009-01-05,0.5967298288508558,0.09790819961643993,0.9239524650581277,-0.20135152429742453,0.1073572561154257,0.5742372427103134,25.626530975272846,0.08203568079863773,0.09591627435218886,-0.2135521479583714,0.023858551490556268
A4__KURT126_LVL,0,2009-01-05,0.5424816625916871,0.07707864989485369,0.8181096065856917,-0.18121092841261022,0.09648125779574371,0.5279686661730267,12.007520173705224,0.0,0.08821600786181394,-0.19547620907730545,-0.12503454184797425
A4__KURT126_LVL,5,2009-01-05,0.5424816625916871,0.07658068263211781,0.8131258455509652,-0.18125027322863774,0.09650688539292847,0.5280636879510052,12.00752017370522,0.010036734928655987,0.0880785142879068,-0.19551473724646173,-0.1288443446105012
