frequency,signal_date,common_names,median_available_factors,minimum_available_factors
weekly,2018-02-23,493,13.0,10
weekly,2018-03-02,493,13.0,10
weekly,2018-03-09,493,13.0,10
weekly,2018-03-16,493,13.0,10
weekly,2018-03-23,493,13.0,10
weekly,2018-03-29,493,13.0,10
weekly,2018-04-06,493,13.0,10
weekly,2018-04-13,493,13.0,10
weekly,2018-04-20,493,13.0,10
weekly,2018-04-27,493,13.0,10
weekly,2018-05-04,493,13.0,10
weekly,2018-05-11,493,13.0,10
weekly,2018-05-18,493,13.0,10
weekly,2018-05-25,493,13.0,10
weekly,2018-06-01,493,13.0,10
weekly,2018-06-08,492,13.0,10
weekly,2018-06-15,491,13.0,10
weekly,2018-06-22,492,13.0,10
weekly,2018-06-29,492,13.0,10
weekly,2018-07-06,492,13.0,10
weekly,2018-07-13,492,13.0,10
weekly,2018-07-20,493,13.0,10
weekly,2018-07-27,493,13.0,10
weekly,2018-08-03,493,13.0,10
weekly,2018-08-10,493,13.0,10
weekly,2018-08-17,493,13.0,10
weekly,2018-08-24,493,13.0,10
weekly,2018-08-31,493,13.0,10
weekly,2018-09-07,494,13.0,10
weekly,2018-09-14,493,13.0,10
weekly,2018-09-21,494,13.0,10
weekly,2018-09-28,494,13.0,10
weekly,2018-10-05,494,13.0,10
weekly,2018-10-12,494,13.0,10
weekly,2018-10-19,494,13.0,10
weekly,2018-10-26,494,13.0,10
weekly,2018-11-02,493,13.0,10
weekly,2018-11-09,495,13.0,10
weekly,2018-11-16,495,13.0,10
weekly,2018-11-23,495,13.0,10
weekly,2018-11-30,493,13.0,10
weekly,2018-12-07,495,13.0,10
weekly,2018-12-14,495,13.0,10
weekly,2018-12-21,494,13.0,10
weekly,2018-12-28,495,13.0,10
weekly,2019-01-04,494,13.0,10
weekly,2019-01-11,494,13.0,10
weekly,2019-01-18,494,13.0,10
weekly,2019-01-25,494,13.0,10
weekly,2019-02-01,494,13.0,10
weekly,2019-02-08,494,13.0,10
weekly,2019-02-15,494,13.0,10
weekly,2019-02-22,495,13.0,10
weekly,2019-03-01,495,13.0,10
weekly,2019-03-08,495,13.0,10
weekly,2019-03-15,495,13.0,10
weekly,2019-03-22,495,13.0,10
weekly,2019-03-29,495,13.0,10
weekly,2019-04-05,494,13.0,10
weekly,2019-04-12,494,13.0,10
weekly,2019-04-18,494,13.0,10
weekly,2019-04-26,494,13.0,10
weekly,2019-05-03,494,13.0,10
weekly,2019-05-10,494,13.0,10
weekly,2019-05-17,494,13.0,10
weekly,2019-05-24,494,13.0,10
weekly,2019-05-31,494,13.0,10
weekly,2019-06-07,492,13.0,10
weekly,2019-06-14,493,13.0,10
weekly,2019-06-21,493,13.0,10
weekly,2019-06-28,493,13.0,10
weekly,2019-07-05,493,13.0,10
weekly,2019-07-12,492,13.0,10
weekly,2019-07-19,493,13.0,10
weekly,2019-07-26,493,13.0,10
weekly,2019-08-02,493,13.0,10
