factor_id,frequency,top_k,cost_bps,path_type,maximum_abs_diff,identity_passed
XS003_MOM_12_7,monthly,50,5,factor_topk,2.1316282072803006e-14,True
XS003_MOM_12_7,monthly,50,10,factor_topk,3.108624468950438e-14,True
XS003_MOM_12_7,monthly,50,20,factor_topk,2.886579864025407e-14,True
XS003_MOM_12_7,weekly,5,0,factor_topk,3.552713678800501e-15,True
XS003_MOM_12_7,weekly,5,5,factor_topk,1.687538997430238e-14,True
XS003_MOM_12_7,weekly,5,10,factor_topk,2.0872192862952943e-14,True
XS003_MOM_12_7,weekly,5,20,factor_topk,3.4638958368304884e-14,True
XS003_MOM_12_7,weekly,10,0,factor_topk,3.552713678800501e-15,True
XS003_MOM_12_7,weekly,10,5,factor_topk,1.3322676295501878e-14,True
XS003_MOM_12_7,weekly,10,10,factor_topk,7.993605777301127e-15,True
XS003_MOM_12_7,weekly,10,20,factor_topk,6.217248937900877e-15,True
XS003_MOM_12_7,weekly,20,0,factor_topk,0.0,True
XS003_MOM_12_7,weekly,20,5,factor_topk,2.5757174171303632e-14,True
XS003_MOM_12_7,weekly,20,10,factor_topk,1.056932319443149e-13,True
XS003_MOM_12_7,weekly,20,20,factor_topk,9.325873406851315e-14,True
XS003_MOM_12_7,weekly,50,0,factor_topk,4.440892098500626e-16,True
XS003_MOM_12_7,weekly,50,5,factor_topk,3.019806626980426e-14,True
XS003_MOM_12_7,weekly,50,10,factor_topk,5.950795411990839e-14,True
XS003_MOM_12_7,weekly,50,20,factor_topk,3.6415315207705135e-14,True
XS004_HIGH_52W,monthly,5,0,factor_topk,6.938893903907228e-17,True
XS004_HIGH_52W,monthly,5,5,factor_topk,1.8207657603852567e-14,True
XS004_HIGH_52W,monthly,5,10,factor_topk,9.547918011776346e-15,True
XS004_HIGH_52W,monthly,5,20,factor_topk,1.3516965324811281e-14,True
XS004_HIGH_52W,monthly,10,0,factor_topk,3.552713678800501e-15,True
XS004_HIGH_52W,monthly,10,5,factor_topk,7.327471962526033e-15,True
XS004_HIGH_52W,monthly,10,10,factor_topk,2.042810365310288e-14,True
XS004_HIGH_52W,monthly,10,20,factor_topk,1.7985612998927536e-14,True
XS004_HIGH_52W,monthly,20,0,factor_topk,3.552713678800501e-15,True
XS004_HIGH_52W,monthly,20,5,factor_topk,1.2101430968414206e-14,True
XS004_HIGH_52W,monthly,20,10,factor_topk,1.6431300764452317e-14,True
XS004_HIGH_52W,monthly,20,20,factor_topk,1.837419105754634e-14,True
XS004_HIGH_52W,monthly,50,0,factor_topk,2.7755575615628914e-17,True
XS004_HIGH_52W,monthly,50,5,factor_topk,2.353672812205332e-14,True
XS004_HIGH_52W,monthly,50,10,factor_topk,1.84297022087776e-14,True
XS004_HIGH_52W,monthly,50,20,factor_topk,2.886579864025407e-14,True
XS004_HIGH_52W,weekly,5,0,factor_topk,8.326672684688674e-17,True
XS004_HIGH_52W,weekly,5,5,factor_topk,7.382983113757291e-15,True
XS004_HIGH_52W,weekly,5,10,factor_topk,2.1649348980190553e-15,True
XS004_HIGH_52W,weekly,5,20,factor_topk,2.886579864025407e-15,True
XS004_HIGH_52W,weekly,10,0,factor_topk,5.551115123125783e-17,True
XS004_HIGH_52W,weekly,10,5,factor_topk,1.4210854715202004e-14,True
