observations,total_return,cagr,annualized_volatility,sharpe_zero_rf,sharpe_excess_rf,sortino,max_drawdown,max_drawdown_duration,calmar,average_l1_turnover,annualized_l1_turnover,total_cost,corporate_action_events_applied,valuation_fallback_count,valuation_fallback_sid_count,unfilled_execution_count,skipped_signed_rebalance_count,average_target_risk_allocation,minimum_target_risk_allocation,maximum_target_risk_allocation,below_full_investment_fraction,leveraged_rebalance_fraction,average_actual_risky_weight,average_long_exposure,average_short_exposure,average_gross_exposure,average_net_exposure,total_short_borrow_fee,factor_id,frequency,top_k,cost_bps,path_type
2134.0,4.30359557088631,0.21776402467510225,0.34623917499746254,0.7430696860019248,0.6625921244234237,0.929272839236574,-0.4930611650270519,646.0,0.4416572225134677,0.38193879554623295,20.025477017842977,0.10886734347215096,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,XS002_MOM_12_1,weekly,10,5,factor_topk
2134.0,3.8722851428533716,0.20562722290385627,0.34626381643365844,0.7141008502127465,0.6336285908966636,0.8875451538277456,-0.5025928402488529,664.0,0.4091328137544546,0.38193879554623295,20.025477017842977,0.20705261816913284,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,XS002_MOM_12_1,weekly,10,10,factor_topk
2134.0,3.11178008094671,0.18170648840585035,0.34633112659439247,0.6561413906981389,0.5756838882977038,0.8043787675920753,-0.52217270389021,1032.0,0.34798159124774025,0.38193879554623295,20.025477017842977,0.3751846836396895,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,XS002_MOM_12_1,weekly,10,20,factor_topk
2134.0,3.8390811422199373,0.20465405987516516,0.2972227144891866,0.7759954230081142,0.6822353116452018,0.951071329913726,-0.4320679506969769,582.0,0.4736617459013886,0.3420757852991816,17.93541493231248,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9998377082297665,0.9998377082297665,0.0,0.9998377082297665,0.9998377082297665,0.0,XS002_MOM_12_1,weekly,20,0,factor_topk
2134.0,3.485168890540576,0.1938982582153601,0.2972241747239241,0.7458023295419561,0.6520426974851117,0.9078674355587272,-0.4408627413116101,592.0,0.4398154800709484,0.3420757852991816,17.93541493231248,0.10927796437629222,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9998377082297665,0.9998377082297665,0.0,0.9998377082297665,0.9998377082297665,0.0,XS002_MOM_12_1,weekly,20,5,factor_topk
2134.0,3.157074915201754,0.18323628730566477,0.297230830180376,0.7155970247899377,0.6218394930184253,0.8647556198439317,-0.449523191579825,592.0,0.40762365710585635,0.3420757852991816,17.93541493231248,0.20899374702247042,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9998377082297665,0.9998377082297665,0.0,0.9998377082297665,0.9998377082297665,0.0,XS002_MOM_12_1,weekly,20,10,factor_topk
2134.0,2.5709633814835446,0.16219064640719028,0.2972597250902203,0.6551561244600983,0.5614076546378054,0.7788152164378017,-0.4664491362320198,613.0,0.34771346714749596,0.3420757852991816,17.93541493231248,0.38278573694125456,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9998377082297665,0.9998377082297665,0.0,0.9998377082297665,0.9998377082297665,0.0,XS002_MOM_12_1,weekly,20,20,factor_topk
2134.0,2.969270727223152,0.17679444596411553,0.2423044999176015,0.7936789052006736,0.678662982405042,0.9462716832157277,-0.3685540636345854,347.0,0.4796974539382748,0.3123531029781545,16.37702154921263,0.0,7.0,5.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9997992071311135,0.9997992071311135,0.0,0.9997992071311135,0.9997992071311135,0.0,XS002_MOM_12_1,weekly,50,0,factor_topk
2134.0,2.703335462165895,0.16719675631567865,0.2423235559858775,0.75982498160679,0.6448184489358015,0.8978317222076035,-0.36910538411363636,362.0,0.45297837287630527,0.31235310297815455,16.377021549212632,0.10145037552977401,7.0,5.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9997992071311135,0.9997992071311135,0.0,0.9997992071311135,0.9997992071311135,0.0,XS002_MOM_12_1,weekly,50,5,factor_topk
2134.0,2.4551752793462778,0.15767567425417717,0.2423474554430253,0.7259618732051663,0.61096699295209,0.8495168184156057,-0.3696563218655353,364.0,0.42654667302439003,0.3123531029781545,16.37702154921263,0.19488027192981913,7.0,5.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9997992071311135,0.9997992071311135,0.0,0.9997992071311135,0.9997992071311135,0.0,XS002_MOM_12_1,weekly,50,10,factor_topk
2134.0,2.007517944889742,0.1388609445487985,0.2424097785034385,0.65821624938198,0.5432514521882048,0.7532712699091715,-0.3797011503017448,578.0,0.3657111505678797,0.3123531029781545,16.37702154921263,0.35999819786669124,7.0,5.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9997992071311135,0.9997992071311135,0.0,0.9997992071311135,0.9997992071311135,0.0,XS002_MOM_12_1,weekly,50,20,factor_topk
2134.0,1.551657007640892,0.11696835951687001,0.1993186217189555,0.6551479931504677,0.5152592456034469,0.7226335519875051,-0.3998417917129534,488.0,0.29253660307935403,0.030079034706385857,1.5770773360956425,0.0,58.0,76.0,31.0,34.0,0.0,1.0,1.0,1.0,0.0,0.0,0.999834291776703,0.999834291776703,0.0,0.999834291776703,0.999834291776703,0.0,XS002_MOM_12_1,weekly,0,0,eligible_ew
2134.0,1.534674518499838,0.11608791079873004,0.1993204386775261,0.6511867940538238,0.5112998925970957,0.7169559640792038,-0.3999440138982596,488.0,0.2902604033680105,0.030079034706385857,1.5770773360956425,0.01025977507098171,58.0,76.0,31.0,34.0,0.0,1.0,1.0,1.0,0.0,0.0,0.999834291776703,0.999834291776703,0.0,0.999834291776703,0.999834291776703,0.0,XS002_MOM_12_1,weekly,0,5,eligible_ew
2134.0,1.517804171109732,0.11520810981500595,0.19932245190608833,0.6472250298613131,0.5073401116294018,0.7112802868035617,-0.4000462224089847,488.0,0.28798699590574733,0.030079034706385857,1.5770773360956425,0.02044004956360216,58.0,76.0,31.0,34.0,0.0,1.0,1.0,1.0,0.0,0.0,0.999834291776703,0.999834291776703,0.0,0.999834291776703,0.999834291776703,0.0,XS002_MOM_12_1,weekly,0,10,eligible_ew
2134.0,1.4843969655112947,0.11345044916673963,0.1993270671488203,0.6392998531507299,0.4994193127007288,0.6999346757915195,-0.40025059841214095,488.0,0.28344854352951865,0.030079034706385857,1.5770773360956425,0.04056435098521188,58.0,76.0,31.0,34.0,0.0,1.0,1.0,1.0,0.0,0.0,0.999834291776703,0.999834291776703,0.0,0.999834291776703,0.999834291776703,0.0,XS002_MOM_12_1,weekly,0,20,eligible_ew
2134.0,5.4485827825946895,0.24620100375668952,0.39861733521131903,0.7525740850510637,0.6826591369351869,0.9647787645400937,-0.436545513471275,382.0,0.5639755676309103,0.7882713144520863,9.49471690097302,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,XS002_MOM_12_1,monthly,5,0,factor_topk
2134.0,5.194421189625614,0.24029747516728994,0.3985934811284499,0.7406759168798636,0.6707568652189898,0.9474558244342319,-0.43874495556727533,384.0,0.5476928500672955,0.7882713144520864,9.494716900973021,0.06368576214146078,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,XS002_MOM_12_1,monthly,5,5,factor_topk
2134.0,4.950164268402106,0.23441915092854826,0.3985750446927829,0.7287664185951251,0.6588442113187812,0.9301383202037415,-0.44093709873631504,384.0,0.5316385298501122,0.7882713144520863,9.49471690097302,0.1243335236151191,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,XS002_MOM_12_1,monthly,5,10,factor_topk
