frequency,factor_left,factor_right,spearman
weekly,XS008_SAME_MONTH_5Y,XS041_ASSET_GROWTH,-0.08998278039192106
weekly,XS008_SAME_MONTH_5Y,XS056_CFO_ACCRUALS_PT,-0.0016753637326305797
weekly,XS013_LOW_BETA_FP,XS015_MAX_21,0.32358167100193547
weekly,XS013_LOW_BETA_FP,XS018_AMIHUD_252,-0.1021104600337352
weekly,XS013_LOW_BETA_FP,XS019_PRICE_DELAY_52W,0.19004905469757072
weekly,XS013_LOW_BETA_FP,XS020_VOLUME_SHOCK_50D,0.0022989985324327737
weekly,XS013_LOW_BETA_FP,XS032_GROSS_PROFIT_AT,0.023958512456571743
weekly,XS013_LOW_BETA_FP,XS041_ASSET_GROWTH,0.05287179699695135
weekly,XS013_LOW_BETA_FP,XS056_CFO_ACCRUALS_PT,-0.03272028800518447
weekly,XS015_MAX_21,XS018_AMIHUD_252,-0.12637507861734423
weekly,XS015_MAX_21,XS019_PRICE_DELAY_52W,0.08404211729946351
weekly,XS015_MAX_21,XS020_VOLUME_SHOCK_50D,0.011750657602945353
weekly,XS015_MAX_21,XS032_GROSS_PROFIT_AT,-0.006058871733760429
weekly,XS015_MAX_21,XS041_ASSET_GROWTH,0.05875869588381539
weekly,XS015_MAX_21,XS056_CFO_ACCRUALS_PT,-0.06552716471281496
weekly,XS018_AMIHUD_252,XS019_PRICE_DELAY_52W,-0.06966381963434856
weekly,XS018_AMIHUD_252,XS020_VOLUME_SHOCK_50D,-0.016490353811331217
weekly,XS018_AMIHUD_252,XS032_GROSS_PROFIT_AT,-0.16627329504353167
weekly,XS018_AMIHUD_252,XS041_ASSET_GROWTH,0.04190264554295487
weekly,XS018_AMIHUD_252,XS056_CFO_ACCRUALS_PT,-0.03930098394358118
weekly,XS019_PRICE_DELAY_52W,XS020_VOLUME_SHOCK_50D,0.01640250804698057
weekly,XS019_PRICE_DELAY_52W,XS032_GROSS_PROFIT_AT,-0.00758187253499304
weekly,XS019_PRICE_DELAY_52W,XS041_ASSET_GROWTH,0.04923405640063722
weekly,XS019_PRICE_DELAY_52W,XS056_CFO_ACCRUALS_PT,0.11158717665578446
weekly,XS020_VOLUME_SHOCK_50D,XS032_GROSS_PROFIT_AT,-1.3548592756346155e-05
weekly,XS020_VOLUME_SHOCK_50D,XS041_ASSET_GROWTH,0.00045868612661792657
weekly,XS020_VOLUME_SHOCK_50D,XS056_CFO_ACCRUALS_PT,-0.004585085662217369
weekly,XS032_GROSS_PROFIT_AT,XS041_ASSET_GROWTH,-0.08899386034422684
weekly,XS032_GROSS_PROFIT_AT,XS056_CFO_ACCRUALS_PT,0.09093670876155241
weekly,XS041_ASSET_GROWTH,XS056_CFO_ACCRUALS_PT,0.0627969770491708
