factor_id,frequency,year,median_rank_ic,mean_rank_ic,signal_dates
XS007_ST_REV_21,weekly,2019,0.027441232957719053,0.0425594633697544,52
XS007_ST_REV_21,weekly,2020,0.0032073552938462805,0.005547591737203453,53
XS007_ST_REV_21,weekly,2021,0.0009702278809115238,0.014113003390500966,52
XS007_ST_REV_21,weekly,2022,0.014252631829852914,0.022385626093387626,52
XS007_ST_REV_21,weekly,2023,0.009886739384731169,0.01785502661858135,52
XS007_ST_REV_21,weekly,2024,0.005499217534718745,0.01623075136184676,52
XS007_ST_REV_21,weekly,2025,-0.010513031966936115,0.010842379543079974,52
XS007_ST_REV_21,weekly,2026,0.00536347462559117,0.0038892669738423698,25
XS008_SAME_MONTH_5Y,monthly,2017,-0.19382304236323605,-0.19382304236323605,1
XS008_SAME_MONTH_5Y,monthly,2018,0.032780672777959693,0.0310289600289554,12
XS008_SAME_MONTH_5Y,monthly,2019,0.047477451627934625,0.000872857581266631,12
XS008_SAME_MONTH_5Y,monthly,2020,0.027277149994184142,0.032815376315027005,12
XS008_SAME_MONTH_5Y,monthly,2021,-0.015000745098904242,-0.040347495050138904,12
XS008_SAME_MONTH_5Y,monthly,2022,-0.0075607651743532555,-0.03841994254795459,12
XS008_SAME_MONTH_5Y,monthly,2023,-0.01322632766294738,0.014671335041558332,12
XS008_SAME_MONTH_5Y,monthly,2024,0.04042800012664189,0.019254239207660746,12
XS008_SAME_MONTH_5Y,monthly,2025,-0.005788732672314826,-0.012979493190162825,12
XS008_SAME_MONTH_5Y,monthly,2026,0.020460365391065,-0.001308379075877976,4
XS008_SAME_MONTH_5Y,weekly,2017,-0.16852046307230084,-0.16852046307230084,1
XS008_SAME_MONTH_5Y,weekly,2018,0.03615706156371724,0.012933805353427228,52
XS008_SAME_MONTH_5Y,weekly,2019,-0.0006432003560457534,-0.010886734211953611,52
XS008_SAME_MONTH_5Y,weekly,2020,0.019173734945502462,0.012973225780146211,53
XS008_SAME_MONTH_5Y,weekly,2021,-0.021871076031414423,-0.017073384664965,52
XS008_SAME_MONTH_5Y,weekly,2022,-0.01742177118426745,-0.04248631362739366,52
XS008_SAME_MONTH_5Y,weekly,2023,-0.01159336508753258,-0.001749825723779268,52
XS008_SAME_MONTH_5Y,weekly,2024,0.0057721989385826405,0.002425215125350643,52
XS008_SAME_MONTH_5Y,weekly,2025,-0.007417555063145944,-0.009490265470468846,52
XS008_SAME_MONTH_5Y,weekly,2026,-0.05705130511010096,-0.024127885325862842,25
XS013_LOW_BETA_FP,monthly,2017,-0.18295570533859198,-0.18295570533859198,1
XS013_LOW_BETA_FP,monthly,2018,0.01873620805543756,0.07413769904260488,12
XS013_LOW_BETA_FP,monthly,2019,-0.18451033663526423,-0.016506454967698505,12
XS013_LOW_BETA_FP,monthly,2020,-0.0897483000038998,-0.10373781952265758,12
XS013_LOW_BETA_FP,monthly,2021,-0.0021105472774302844,-0.004362911815886126,12
XS013_LOW_BETA_FP,monthly,2022,0.03083836733843808,0.027484077300024206,12
XS013_LOW_BETA_FP,monthly,2023,-0.022380258215391177,-0.04873670656408358,12
XS013_LOW_BETA_FP,monthly,2024,-0.012060879450702257,-0.005674311513484996,12
XS013_LOW_BETA_FP,monthly,2025,-0.06908113612417467,-0.04000882140998907,12
XS013_LOW_BETA_FP,monthly,2026,-0.20975837204315886,-0.11514269514968958,4
XS013_LOW_BETA_FP,weekly,2017,-0.39312699788813743,-0.39312699788813743,1
XS013_LOW_BETA_FP,weekly,2018,0.07413885789029989,0.03958651928107773,52
XS013_LOW_BETA_FP,weekly,2019,-0.0074716811002053405,-0.0127462197058127,52
XS013_LOW_BETA_FP,weekly,2020,-0.04332403688900582,-0.02283720483916124,53
XS013_LOW_BETA_FP,weekly,2021,0.00043916429022555336,-0.0069028320190064555,52
XS013_LOW_BETA_FP,weekly,2022,0.002105284420118263,0.018678752355598717,52
XS013_LOW_BETA_FP,weekly,2023,0.04860703713619982,-0.03204577165266134,52
XS013_LOW_BETA_FP,weekly,2024,0.0296428151160103,-0.020129235341307398,52
XS013_LOW_BETA_FP,weekly,2025,-0.041200320852436814,-0.022846625386690463,52
XS013_LOW_BETA_FP,weekly,2026,-0.034239159295951664,-0.015911528371403222,25
XS015_MAX_21,monthly,2017,-0.11943078451031904,-0.11943078451031904,1
XS015_MAX_21,monthly,2018,0.019310371157797088,0.022463212439172434,12
XS015_MAX_21,monthly,2019,-0.006965360223349471,0.0240943107160876,12
XS015_MAX_21,monthly,2020,-0.0935232392495835,-0.07795179429419566,12
XS015_MAX_21,monthly,2021,0.041687494749978994,0.03934438730526007,12
XS015_MAX_21,monthly,2022,0.06054065559717452,0.03422908049838017,12
XS015_MAX_21,monthly,2023,-0.0010472028394137673,-0.008219449070567366,12
XS015_MAX_21,monthly,2024,0.0193496990491649,0.010360165337693164,12
XS015_MAX_21,monthly,2025,-0.06644725234034618,-0.09018896305275598,12
XS015_MAX_21,monthly,2026,-0.10415020196828431,-0.09230132314782975,4
XS015_MAX_21,weekly,2017,-0.27157389068353094,-0.27157389068353094,1
XS015_MAX_21,weekly,2018,0.025407006987448893,0.019939866230294048,52
XS015_MAX_21,weekly,2019,0.004587286756129925,-0.0031616617101025406,52
XS015_MAX_21,weekly,2020,0.003703694814779259,-0.0016611119572480216,53
XS015_MAX_21,weekly,2021,0.048975987614793826,0.01258974846555137,52
XS015_MAX_21,weekly,2022,-0.038254713018852075,0.014010598522616833,52
XS015_MAX_21,weekly,2023,0.0045123017118574495,-0.027095531516447145,52
XS015_MAX_21,weekly,2024,-0.00048817595551529436,0.007684980681805744,52
XS015_MAX_21,weekly,2025,-0.014662268059700109,-0.02639958299907321,52
XS015_MAX_21,weekly,2026,-0.00203625524409981,-0.015910906337490614,25
XS018_AMIHUD_252,monthly,2017,-0.14636530263317238,-0.14636530263317238,1
XS018_AMIHUD_252,monthly,2018,-0.013902353913118812,-0.00821903899279571,12
XS018_AMIHUD_252,monthly,2019,-0.03126693840021051,-0.021575037815176574,12
XS018_AMIHUD_252,monthly,2020,0.05865262685196183,0.03482029560333132,12
XS018_AMIHUD_252,monthly,2021,0.0025173509865334563,0.01876849247999111,12
XS018_AMIHUD_252,monthly,2022,-0.03335415720127215,0.003901128823934908,12
XS018_AMIHUD_252,monthly,2023,-0.04143784891059179,-0.04839982759168437,12
XS018_AMIHUD_252,monthly,2024,-0.029843449717305695,-0.014871619095279278,12
XS018_AMIHUD_252,monthly,2025,-0.03474336738451412,-0.028668378380514867,12
XS018_AMIHUD_252,monthly,2026,-0.0057162468649874605,-0.012765633704497096,4
XS018_AMIHUD_252,weekly,2017,-0.08881779202679765,-0.08881779202679765,1
XS018_AMIHUD_252,weekly,2018,-0.02482811143532114,-0.020120409572081846,52
XS018_AMIHUD_252,weekly,2019,-0.018421022587179335,-0.006649056836369212,52
XS018_AMIHUD_252,weekly,2020,0.028441631042354386,0.009478321076752998,53
XS018_AMIHUD_252,weekly,2021,0.022033679052366688,0.011689160312163209,52
XS018_AMIHUD_252,weekly,2022,-0.007464348104222796,-0.0007140020160558843,52
XS018_AMIHUD_252,weekly,2023,-0.0038802860261584323,-0.0038812417308373283,52
XS018_AMIHUD_252,weekly,2024,-0.0017313976332097418,-0.009977859133259683,52
XS018_AMIHUD_252,weekly,2025,-0.026903346932160826,-0.017456720345309786,52
XS018_AMIHUD_252,weekly,2026,0.025281406185865704,0.009163985141485613,25
XS019_PRICE_DELAY_52W,monthly,2017,-0.19959347410364747,-0.19959347410364747,1
XS019_PRICE_DELAY_52W,monthly,2018,-0.012720456012280085,0.03250493983158076,12
