transfer_id,frequency,top_k,path_type,cost_bps,peak_date,trough_date,recovery_date,depth,decline_sessions,recovery_sessions,duration_sessions,recovered
MONTHLY_TOP20,monthly,20,naked,0.0,2022-02-09,2022-03-08,2022-03-22,-0.12524804828012226,18,10,28,True
MONTHLY_TOP20,monthly,20,naked,5.0,2020-02-19,2020-03-23,2020-07-30,-0.3444538829120146,23,90,113,True
MONTHLY_TOP20,monthly,20,naked,5.0,2018-08-29,2018-12-24,2019-11-14,-0.29444117566378847,80,225,305,True
MONTHLY_TOP20,monthly,20,naked,5.0,2025-01-23,2025-04-08,2025-05-14,-0.22371722640705238,52,25,77,True
MONTHLY_TOP20,monthly,20,naked,5.0,2022-03-29,2022-05-11,2022-08-23,-0.2226299829470234,30,71,101,True
MONTHLY_TOP20,monthly,20,naked,5.0,2022-08-25,2022-09-26,2022-10-21,-0.18381707511660017,21,19,40,True
MONTHLY_TOP20,monthly,20,naked,5.0,2022-11-15,2023-10-27,2023-12-12,-0.15634804160842342,238,31,269,True
MONTHLY_TOP20,monthly,20,naked,5.0,2021-02-12,2021-03-08,2021-04-27,-0.1470312531520297,15,35,50,True
MONTHLY_TOP20,monthly,20,naked,5.0,2026-02-25,2026-03-30,2026-04-10,-0.14545494095287226,23,8,31,True
MONTHLY_TOP20,monthly,20,naked,5.0,2026-06-02,2026-06-10,2026-06-15,-0.12825543695283126,6,3,9,True
MONTHLY_TOP20,monthly,20,naked,5.0,2022-02-09,2022-03-08,2022-03-22,-0.12560227949793068,18,10,28,True
MONTHLY_TOP20,monthly,20,naked,10.0,2020-02-19,2020-03-23,2020-07-30,-0.3447860400697339,23,90,113,True
MONTHLY_TOP20,monthly,20,naked,10.0,2018-08-29,2018-12-24,2019-11-18,-0.29563856692775115,80,227,307,True
MONTHLY_TOP20,monthly,20,naked,10.0,2025-01-23,2025-04-08,2025-05-16,-0.224918693630773,52,27,79,True
MONTHLY_TOP20,monthly,20,naked,10.0,2022-03-29,2022-05-11,2022-08-23,-0.22339041955614125,30,71,101,True
MONTHLY_TOP20,monthly,20,naked,10.0,2022-08-25,2022-09-26,2022-10-21,-0.18398856388553642,21,19,40,True
MONTHLY_TOP20,monthly,20,naked,10.0,2022-11-15,2023-10-27,2023-12-12,-0.160608508281045,238,31,269,True
MONTHLY_TOP20,monthly,20,naked,10.0,2021-02-12,2021-03-08,2021-06-25,-0.14742792539266703,15,77,92,True
MONTHLY_TOP20,monthly,20,naked,10.0,2026-02-25,2026-03-30,2026-04-10,-0.14574531108541178,23,8,31,True
MONTHLY_TOP20,monthly,20,naked,10.0,2026-06-02,2026-06-10,2026-06-15,-0.12825543695283115,6,3,9,True
MONTHLY_TOP20,monthly,20,naked,10.0,2022-02-09,2022-03-08,2022-03-22,-0.12595651071573877,18,10,28,True
MONTHLY_TOP20,monthly,20,naked,20.0,2020-02-19,2020-03-23,2020-07-31,-0.3454503543851726,23,91,114,True
MONTHLY_TOP20,monthly,20,naked,20.0,2018-08-29,2018-12-24,2020-01-02,-0.2980287962214717,80,257,337,True
MONTHLY_TOP20,monthly,20,naked,20.0,2025-01-23,2025-04-08,2025-05-16,-0.22731791660716816,52,27,79,True
MONTHLY_TOP20,monthly,20,naked,20.0,2022-03-29,2022-05-11,2022-08-23,-0.22491018035907995,30,71,101,True
MONTHLY_TOP20,monthly,20,naked,20.0,2022-08-25,2022-09-26,2022-10-21,-0.18433154142340902,21,19,40,True
MONTHLY_TOP20,monthly,20,naked,20.0,2022-11-15,2023-10-27,2023-12-13,-0.16907116565850955,238,32,270,True
MONTHLY_TOP20,monthly,20,naked,20.0,2021-02-12,2021-03-08,2021-06-30,-0.14822126987394202,15,80,95,True
MONTHLY_TOP20,monthly,20,naked,20.0,2026-02-25,2026-03-30,2026-04-10,-0.14632605135049104,23,8,31,True
