transfer_id,path_type,cost_bps,terminal,cagr,sharpe,mdd,cumulative_l1_turnover,mean_actual_long_exposure
R10__MOM255__TOP50__MONTHLY,naked,0.0,2.5988005426061447,0.23830215284737366,1.0689913304102352,-0.21708992513751413,31.479741737129608,0.9996002068383188
R10__MOM255__TOP50__MONTHLY,naked,5.0,2.5582098663146833,0.23394712228323522,1.0531881957737972,-0.21756824972533695,31.479741737129608,0.9996002068383188
R10__MOM255__TOP50__MONTHLY,naked,10.0,2.5182411082885467,0.22960608936386473,1.0373646454382135,-0.2180464282330551,31.479741737129608,0.9996002068383188
R10__MOM255__TOP50__MONTHLY,naked,20.0,2.440132107988782,0.2209658534239225,1.0056602220636535,-0.21900234700817633,31.479741737129608,0.9996002068383188
R10__MOM255__TOP50__MONTHLY,p00_overlay,0.0,2.309223536667165,0.20599101625564153,1.1252498563677513,-0.2073472421851248,36.98337584622716,0.7447216268363898
R10__MOM255__TOP50__MONTHLY,p00_overlay,5.0,2.266909281132062,0.20100976757633582,1.1024732754815856,-0.20867096750178682,36.98337584622716,0.7447216268363899
R10__MOM255__TOP50__MONTHLY,p00_overlay,10.0,2.2253601737455346,0.19604786434804233,1.0796604653656339,-0.20999280937982656,36.98337584622716,0.7447216268363899
R10__MOM255__TOP50__MONTHLY,p00_overlay,20.0,2.1445030381780112,0.1861818128424333,1.0339341498957033,-0.2126308516927755,36.98337584622716,0.7447216268363899
R10__MOM255__TOP50__WEEKLY,matched_static,0.0,2.0761887104196766,0.1776185919774702,1.0890494747913433,-0.15373835909468248,50.506389560157686,0.7333302141686988
R10__MOM255__TOP50__WEEKLY,matched_static,5.0,2.02441167590691,0.1709814232215907,1.0542925653936277,-0.15437297850791454,50.506389560157686,0.7333302141686988
R10__MOM255__TOP50__WEEKLY,matched_static,10.0,1.9739198044389843,0.16438085969872063,1.0195067453825732,-0.1550072002690671,50.506389560157686,0.7333302141686988
R10__MOM255__TOP50__WEEKLY,matched_static,20.0,1.8766653373620128,0.15128875944522702,0.949857263433321,-0.1562744516453236,50.506389560157686,0.7333302141686988
R10__MOM255__TOP50__WEEKLY,naked,0.0,2.4600474682396163,0.22318900621542048,1.021359192299626,-0.2086132742505833,68.82520445776643,0.9998571131378965
R10__MOM255__TOP50__WEEKLY,naked,5.0,2.376824094608636,0.21380392797646164,0.986624617571588,-0.20942982781854702,68.82520445776643,0.9998571131378965
R10__MOM255__TOP50__WEEKLY,naked,10.0,2.296403023061396,0.2044893151139231,0.9518624135574814,-0.2102456780098353,68.82520445776643,0.9998571131378965
R10__MOM255__TOP50__WEEKLY,naked,20.0,2.143595250194047,0.18606941899560847,0.8822639946489589,-0.21187527023083919,68.82520445776643,0.9998571131378965
R10__MOM255__TOP50__WEEKLY,p00_overlay,0.0,2.1719292367754335,0.18956018634954286,1.058743784287619,-0.21167896446131307,63.10814635214747,0.7446004255983674
R10__MOM255__TOP50__WEEKLY,p00_overlay,5.0,2.1044596989743276,0.18118850976795997,1.0193198155739682,-0.21421631710933464,63.10814635214747,0.7446004255983674
R10__MOM255__TOP50__WEEKLY,p00_overlay,10.0,2.0390738619485735,0.1728741799591853,0.9798602799788758,-0.21674593607562598,63.10814635214747,0.7446004255983673
R10__MOM255__TOP50__WEEKLY,p00_overlay,20.0,1.9142993367152612,0.15641603420269323,0.9008513855295938,-0.22178206200304185,63.10814635214747,0.7446004255983674
