cik10,companyfacts_error_code,companyfacts_http_status,companyfacts_object_key,companyfacts_raw_record_id,companyfacts_raw_sha256,companyfacts_raw_size_bytes,exception_review_status,exception_reviewed_date,explicit_missing,fact_value_state,imputation_applied,imputation_policy,imputed_fact_rows,periodic_form_amendments_included,periodic_form_bases,periodic_form_count,reason_code,schema_version,source,status,submissions_cik10,ticker
0000030554,,200,,b5f501c89d7572a49e822adf7a69a02934a58a56c3513c69e5c7fb824770deb5,164714c0ac674ef93efe23ae2bda6d7affdf28c49fbd8f78eee2bcb6d713923f,152670,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000030554,
0000030625,,200,,ad7c54b81e135a1e183df4f5b9cecac8dcf8b5b38361ce3194df7bc573fc24af,15859bf015de6bf19e35d8fb547bae5b63baa91358e3541f53cd140798ba6115,295753,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000030625,
0000031462,,200,,22b1669ba4cb0f33b88f09f99f1bad66761e9d8ac13a88cbadd9b6765e7ec77a,8dea8f9106a2305db91315bc178306d9db36eaa43bfc747154b7214a87cb9d4a,301915,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000031462,
0000031791,,200,,c35d3263448e5fd815b2b45a95291d5bf525d728ec27a38d046cca368c345f40,bb1891c5b57af9f18d95bfc8d3ee141f2bbb797f31d0763a32aed2f698d2a069,297569,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000031791,
0000032604,,200,,3d97b62cfbe727cb002e9acac5c98704bc8275452c7f9f6548e4e89a5b4c402b,9f4203cffc64b607497724451c7243c9cd84ad83989f72ae728c3523b2884c36,245217,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000032604,
0000033185,,200,,2574eb5a20e75077512b074fbd4c6df7189745a9df934734d8b66b4e53c6b19a,a298875796b9f35903619266bc5da647a38a1f4cd934f28f6add97e6490a217e,243095,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000033185,
0000033213,,200,,3b0c2d80e938a8463b5ecd567390ab39cb011e3194de05037f321c91a2c3308f,a5635832262ad9a8c87b88e4c0a044f7474f6e56406dfad7ee51e4f00d4a6bfc,308235,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000033213,
0000034088,,200,,b89d53652cc976506d5bd227527bcc499d912632ae9bc23b409dc05d0184637f,29a3c76d93eef50afd12f2d22f7a721184cc6e939952559772ba831c5d918eac,222406,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000034088,
0000034408,,200,,17da43cba5946f41605398568baf3ac11cc60d269646f45b2a17a4b6b10d166f,d2c566722e3d143d5e13b0741c84c8f6091709896c8cd7056ceed7fee1f23715,70777,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000034408,
0000034903,,200,,17b730198170b39da22066abac58e706b357e993362aaec5ece9c8b17a95799c,fd08b569af05825e9f6ce8366005b64d7cf1827c01a44a1faca651d7ceaac4b4,220794,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000034903,
0000035527,,200,,1bc07e31a6f16dd47baca0f0e42fd451382eee79ef6be027a9ff1207203161ba,623d91b43466613d1a47c4dd9776bc5f5dd77056a41da0d02cb333f00a0ee857,477560,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000035527,
0000036104,,200,,6c04fff4b010cdb2a4b58afff02d2bfdbf5197a9238d140d4f6c53b1fda025eb,d8b85a7f7346953977a12cdb55b87e48960a71260ddd5136458ddea6eb41dcd4,441230,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000036104,
0000036270,,200,,bb18910d9aaf53b21418acd5c76f101375236d4865deb4d66bef91d8df483bd2,cbcbb3ce6c288e3c79a89242468fb6b546a4e3bc7adb5d6d2faed272bc439520,439651,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000036270,
0000037785,,200,,1dd671e41cbcdf62e1f6cc803828fe04249eef25e577b06716a2d0d59b7781d1,4d1a4475f6f77e63a2e4695b6514e5061e2fba812cc717c292cbdd0f6957d169,369604,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000037785,
