factor_id,frequency,state_id,state_bin,episode_id,start_signal,end_signal,observations,relative_log_contribution,episode_relative_mdd
XS001_MOM_255_0,monthly,MKT_TREND126,low,30,2025-03-31,2025-06-30,4,0.07314842271290001,0.0
XS001_MOM_255_0,monthly,MKT_TREND126,low,34,2026-03-31,2026-03-31,1,0.1578278776472169,0.0
XS001_MOM_255_0,monthly,MKT_TREND126,mid,2,2018-03-29,2018-03-29,1,-0.005399071929323656,0.0
XS001_MOM_255_0,monthly,MKT_TREND126,mid,4,2018-08-31,2018-08-31,1,-0.01710845638986427,0.0
XS001_MOM_255_0,monthly,MKT_TREND126,mid,10,2019-08-30,2019-08-30,1,-0.07575097914491666,0.0
XS001_MOM_255_0,monthly,MKT_TREND126,mid,15,2021-09-30,2021-09-30,1,0.03236960241549351,0.0
XS001_MOM_255_0,monthly,MKT_TREND126,mid,17,2021-11-30,2021-11-30,1,-0.09798876081733737,0.0
XS001_MOM_255_0,monthly,MKT_TREND126,mid,20,2022-03-31,2022-03-31,1,-0.0175042222857337,0.0
XS001_MOM_255_0,monthly,MKT_TREND126,mid,23,2023-05-31,2023-05-31,1,-0.002938788688854499,0.0
XS001_MOM_255_0,monthly,MKT_TREND126,mid,25,2023-09-29,2023-09-29,1,0.017345879748654976,0.0
XS001_MOM_255_0,monthly,MKT_TREND126,mid,27,2023-11-30,2024-01-31,3,0.09749061238755927,0.0
XS001_MOM_255_0,monthly,MKT_TREND126,mid,29,2024-12-31,2025-02-28,3,-0.02402228114804497,-0.06035825289508667
XS001_MOM_255_0,monthly,MKT_TREND126,mid,31,2025-07-31,2025-08-29,2,-0.004273563508230896,0.0
XS001_MOM_255_0,monthly,MKT_TREND126,mid,33,2026-01-30,2026-02-27,2,0.032785978193831805,0.0
XS001_MOM_255_0,monthly,MKT_TREND126,mid,35,2026-04-30,2026-04-30,1,0.12420641149665344,0.0
XS001_MOM_255_0,monthly,MKT_TREND126,high,1,2017-12-29,2018-02-28,3,0.06869842345163918,-0.008060221246211197
XS001_MOM_255_0,monthly,MKT_TREND126,high,5,2018-09-28,2018-09-28,1,-0.09481659974012845,0.0
XS001_MOM_255_0,monthly,MKT_TREND126,high,7,2019-04-30,2019-04-30,1,0.015660638152523318,0.0
XS001_MOM_255_0,monthly,MKT_TREND126,high,9,2019-06-28,2019-07-31,2,0.09071528788229427,0.0
XS001_MOM_255_0,monthly,MKT_TREND126,high,12,2019-11-29,2020-01-31,3,0.054846777127896214,0.0
XS001_MOM_255_0,monthly,MKT_TREND126,high,14,2020-08-31,2021-08-31,13,-0.17826457494993697,-0.16592922863454973
XS001_MOM_255_0,monthly,MKT_TREND126,high,16,2021-10-29,2021-10-29,1,0.004748270907881368,0.0
XS001_MOM_255_0,monthly,MKT_TREND126,high,18,2021-12-31,2021-12-31,1,0.008603088495549742,0.0
XS001_MOM_255_0,monthly,MKT_TREND126,high,22,2023-03-31,2023-04-28,2,0.0534806160458934,0.0
XS001_MOM_255_0,monthly,MKT_TREND126,high,24,2023-06-30,2023-08-31,3,-0.02307556617824244,-0.019369979427729667
XS001_MOM_255_0,monthly,MKT_TREND126,high,28,2024-02-29,2024-11-29,10,0.09827355876247176,-0.09957599984544852
XS001_MOM_255_0,monthly,MKT_TREND126,high,32,2025-09-30,2025-12-31,4,0.09594059879342544,-0.049215241863439285
XS001_MOM_255_0,monthly,MKT_XS_DISP21,low,12,2019-12-31,2019-12-31,1,0.010793143125956443,0.0
XS001_MOM_255_0,monthly,MKT_XS_DISP21,low,27,2022-12-30,2022-12-30,1,-0.01736927787366173,0.0
XS001_MOM_255_0,monthly,MKT_XS_DISP21,low,34,2023-09-29,2023-09-29,1,0.017345879748654976,0.0
XS001_MOM_255_0,monthly,MKT_XS_DISP21,low,42,2024-08-30,2024-08-30,1,0.045898154558737,0.0
XS001_MOM_255_0,monthly,MKT_XS_DISP21,low,45,2024-12-31,2024-12-31,1,0.038234315315922404,0.0
XS001_MOM_255_0,monthly,MKT_XS_DISP21,mid,1,2017-12-29,2017-12-29,1,0.03186970647183359,0.0
XS001_MOM_255_0,monthly,MKT_XS_DISP21,mid,3,2018-03-29,2018-03-29,1,-0.005399071929323656,0.0
XS001_MOM_255_0,monthly,MKT_XS_DISP21,mid,5,2018-07-31,2018-09-28,3,-0.07013423143399351,-0.10588873685222788
XS001_MOM_255_0,monthly,MKT_XS_DISP21,mid,7,2019-03-29,2019-03-29,1,-0.03539613657530591,0.0
