group_id,strategy_id,portfolio_mode,variant_id,cost_bps,borrow_fee_annual,reference_strategy_id,comparison_type,metric,estimate
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,20.0,0.01,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,annualized_volatility,-0.0739779645961556
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,20.0,0.01,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,annualized_l1_turnover,-1.2270015530735154
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,20.0,0.03,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,cagr,-0.013855957670829894
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,20.0,0.03,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,sharpe_excess_rf,-0.11495930543483167
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,20.0,0.03,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,max_drawdown,0.0799522203999713
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,20.0,0.03,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,annualized_volatility,-0.07401672061918024
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,20.0,0.03,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,annualized_l1_turnover,-1.2283710362912181
G13,G13__mom_12_1__top10__weekly__long_only,long_only,base,0.0,0.0,G00__mom_12_1__top10__weekly__long_only,delta_vs_same_scenario_G00,cagr,-0.14772184068268807
G13,G13__mom_12_1__top10__weekly__long_only,long_only,base,0.0,0.0,G00__mom_12_1__top10__weekly__long_only,delta_vs_same_scenario_G00,sharpe_excess_rf,-0.2384919209989762
G13,G13__mom_12_1__top10__weekly__long_only,long_only,base,0.0,0.0,G00__mom_12_1__top10__weekly__long_only,delta_vs_same_scenario_G00,max_drawdown,0.15788494228968514
G13,G13__mom_12_1__top10__weekly__long_only,long_only,base,0.0,0.0,G00__mom_12_1__top10__weekly__long_only,delta_vs_same_scenario_G00,annualized_volatility,-0.17883157729502577
G13,G13__mom_12_1__top10__weekly__long_only,long_only,base,0.0,0.0,G00__mom_12_1__top10__weekly__long_only,delta_vs_same_scenario_G00,annualized_l1_turnover,-3.231270625640091
G13,G13__mom_12_1__top10__weekly__long_only,long_only,base,5.0,0.0,G00__mom_12_1__top10__weekly__long_only,delta_vs_same_scenario_G00,cagr,-0.14516491759643824
G13,G13__mom_12_1__top10__weekly__long_only,long_only,base,5.0,0.0,G00__mom_12_1__top10__weekly__long_only,delta_vs_same_scenario_G00,sharpe_excess_rf,-0.24579688170712877
G13,G13__mom_12_1__top10__weekly__long_only,long_only,base,5.0,0.0,G00__mom_12_1__top10__weekly__long_only,delta_vs_same_scenario_G00,max_drawdown,0.15499241983851375
G13,G13__mom_12_1__top10__weekly__long_only,long_only,base,5.0,0.0,G00__mom_12_1__top10__weekly__long_only,delta_vs_same_scenario_G00,annualized_volatility,-0.1788187806495322
G13,G13__mom_12_1__top10__weekly__long_only,long_only,base,5.0,0.0,G00__mom_12_1__top10__weekly__long_only,delta_vs_same_scenario_G00,annualized_l1_turnover,-3.231270625640091
G13,G13__mom_12_1__top10__weekly__long_only,long_only,base,10.0,0.0,G00__mom_12_1__top10__weekly__long_only,delta_vs_same_scenario_G00,cagr,-0.1426267697838776
G13,G13__mom_12_1__top10__weekly__long_only,long_only,base,10.0,0.0,G00__mom_12_1__top10__weekly__long_only,delta_vs_same_scenario_G00,sharpe_excess_rf,-0.25309557815825096
G13,G13__mom_12_1__top10__weekly__long_only,long_only,base,10.0,0.0,G00__mom_12_1__top10__weekly__long_only,delta_vs_same_scenario_G00,max_drawdown,0.15211321398648708
G13,G13__mom_12_1__top10__weekly__long_only,long_only,base,10.0,0.0,G00__mom_12_1__top10__weekly__long_only,delta_vs_same_scenario_G00,annualized_volatility,-0.1788067744099228
G13,G13__mom_12_1__top10__weekly__long_only,long_only,base,10.0,0.0,G00__mom_12_1__top10__weekly__long_only,delta_vs_same_scenario_G00,annualized_l1_turnover,-3.231270625640091
G13,G13__mom_12_1__top10__weekly__long_only,long_only,base,20.0,0.0,G00__mom_12_1__top10__weekly__long_only,delta_vs_same_scenario_G00,cagr,-0.13760637252409702
G13,G13__mom_12_1__top10__weekly__long_only,long_only,base,20.0,0.0,G00__mom_12_1__top10__weekly__long_only,delta_vs_same_scenario_G00,sharpe_excess_rf,-0.2676699766627274
G13,G13__mom_12_1__top10__weekly__long_only,long_only,base,20.0,0.0,G00__mom_12_1__top10__weekly__long_only,delta_vs_same_scenario_G00,max_drawdown,0.1463945430110194
G13,G13__mom_12_1__top10__weekly__long_only,long_only,base,20.0,0.0,G00__mom_12_1__top10__weekly__long_only,delta_vs_same_scenario_G00,annualized_volatility,-0.17878514007600543
G13,G13__mom_12_1__top10__weekly__long_only,long_only,base,20.0,0.0,G00__mom_12_1__top10__weekly__long_only,delta_vs_same_scenario_G00,annualized_l1_turnover,-3.231270625640091
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,0.0,0.0,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,cagr,0.0009941649398053573
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,0.0,0.0,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,sharpe_excess_rf,0.0013122256707878699
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,0.0,0.0,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,max_drawdown,0.22419228643827527
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,0.0,0.0,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,annualized_volatility,-0.07909602425468124
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,0.0,0.0,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,annualized_l1_turnover,-1.5542319685057162
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,0.0,0.01,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,cagr,0.002049726912761521
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,0.0,0.01,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,sharpe_excess_rf,-0.0033266423710386073
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,0.0,0.01,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,max_drawdown,0.22539071882464645
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,0.0,0.01,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,annualized_volatility,-0.07910336415905073
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,0.0,0.01,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,annualized_l1_turnover,-1.5548399062483806
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,0.0,0.03,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,cagr,0.00410291013020973
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,0.0,0.03,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,sharpe_excess_rf,-0.012469205557742086
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,0.0,0.03,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,max_drawdown,0.2251291264607298
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,0.0,0.03,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,annualized_volatility,-0.07911774764158097
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,0.0,0.03,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,annualized_l1_turnover,-1.556051495233806
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,5.0,0.0,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,cagr,0.0017965494991596664
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,5.0,0.0,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,sharpe_excess_rf,-0.006980778530087467
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,5.0,0.0,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,max_drawdown,0.2247429886995016
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,5.0,0.0,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,annualized_volatility,-0.07915488814229338
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,5.0,0.0,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,annualized_l1_turnover,-1.5542319685057215
G13,G13__mom_12_1__top10__weekly__long_short,long_short,base,5.0,0.01,G00__mom_12_1__top10__weekly__long_short,delta_vs_same_scenario_G00,cagr,0.0028430639972155253
