comparison_id,candidate_process_id,parent_process_id,frequency,economic_mean_increment,economic_p,mean_rank_ic_increment,rank_ic_p,economic_q,rank_ic_q
PAIR__FS_RIDGE__ROLE5_S2,FS_RIDGE__ROLE5_S2,FO_RIDGE__ROLE5,weekly,0.0003928096500206589,0.3703259348130374,0.01203647841230905,0.1349730053989202,1.0,1.0
PAIR__FS_LGBM__ROLE5_S2,FS_LGBM__ROLE5_S2,FO_LGBM__ROLE5,weekly,,1.0,,1.0,1.0,1.0
PAIR__FS_RIDGE__ALL14_S6,FS_RIDGE__ALL14_S6,FO_RIDGE__ALL14,weekly,-0.0017119639131926176,0.9258148370325935,0.0023635241973858118,0.4023195360927814,1.0,1.0
PAIR__FS_LGBM__ALL14_S6,FS_LGBM__ALL14_S6,FO_LGBM__ALL14,weekly,,1.0,,1.0,1.0,1.0
PAIR__UNI_RIDGE__XS001_MOM_255_0,UNI_RIDGE__XS001_MOM_255_0,RAW__XS001_MOM_255_0,monthly,-0.010953943249868803,0.9186162767446511,-0.02883082276304456,0.8060387922415517,1.0,1.0
PAIR__UNI_RIDGE__XS002_MOM_12_1,UNI_RIDGE__XS002_MOM_12_1,RAW__XS002_MOM_12_1,monthly,-0.003348379156179065,0.6924615076984603,-0.010663404375867824,0.6436712657468506,1.0,1.0
PAIR__UNI_RIDGE__XS003_MOM_12_7,UNI_RIDGE__XS003_MOM_12_7,RAW__XS003_MOM_12_7,monthly,-0.01023135939094935,0.9256148770245951,-0.0026852891648489964,0.524495100979804,1.0,1.0
PAIR__UNI_RIDGE__XS004_HIGH_52W,UNI_RIDGE__XS004_HIGH_52W,RAW__XS004_HIGH_52W,monthly,-0.005444534496217352,0.7350529894021196,-0.022479312578466793,0.7514497100579884,1.0,1.0
PAIR__UNI_RIDGE__XS007_ST_REV_21,UNI_RIDGE__XS007_ST_REV_21,RAW__XS007_ST_REV_21,monthly,0.004991719466134218,0.04359128174365127,0.023376372364562446,0.010597880423915218,0.6966606678664268,0.4133173365326935
PAIR__UNI_RIDGE__XS008_SAME_MONTH_5Y,UNI_RIDGE__XS008_SAME_MONTH_5Y,RAW__XS008_SAME_MONTH_5Y,monthly,,1.0,,1.0,1.0,1.0
PAIR__UNI_RIDGE__XS013_LOW_BETA_FP,UNI_RIDGE__XS013_LOW_BETA_FP,RAW__XS013_LOW_BETA_FP,monthly,,1.0,,1.0,1.0,1.0
PAIR__UNI_RIDGE__XS015_MAX_21,UNI_RIDGE__XS015_MAX_21,RAW__XS015_MAX_21,monthly,0.004094843211541391,0.05358928214357129,0.01798568536977364,0.09058188362327535,0.6966606678664268,1.0
PAIR__UNI_RIDGE__XS018_AMIHUD_252,UNI_RIDGE__XS018_AMIHUD_252,RAW__XS018_AMIHUD_252,monthly,0.006826850317627686,0.07618476304739052,-0.003432956452748144,0.5676864627074585,0.7428014397120576,1.0
PAIR__UNI_RIDGE__XS019_PRICE_DELAY_52W,UNI_RIDGE__XS019_PRICE_DELAY_52W,RAW__XS019_PRICE_DELAY_52W,monthly,0.002234545237127371,0.28794241151769645,0.022424196430186883,0.20735852829434112,1.0,1.0
PAIR__UNI_RIDGE__XS020_VOLUME_SHOCK_50D,UNI_RIDGE__XS020_VOLUME_SHOCK_50D,RAW__XS020_VOLUME_SHOCK_50D,monthly,-0.00011759538374164157,0.5172965406918616,-0.007757610278408082,0.9346130773845231,1.0,1.0
PAIR__UNI_RIDGE__XS032_GROSS_PROFIT_AT,UNI_RIDGE__XS032_GROSS_PROFIT_AT,RAW__XS032_GROSS_PROFIT_AT,monthly,-0.00023352297102207506,0.9418116376724655,-0.0012370767358668904,1.0,1.0,1.0
PAIR__UNI_RIDGE__XS041_ASSET_GROWTH,UNI_RIDGE__XS041_ASSET_GROWTH,RAW__XS041_ASSET_GROWTH,monthly,-0.003966788571476029,0.8426314737052589,0.004244847846753993,0.41931613677264545,1.0,1.0
PAIR__UNI_RIDGE__XS056_CFO_ACCRUALS_PT,UNI_RIDGE__XS056_CFO_ACCRUALS_PT,RAW__XS056_CFO_ACCRUALS_PT,monthly,-0.002085592078619949,0.8082383523295341,0.006853954439234447,0.16136772645470907,1.0,1.0
PAIR__UNI_LGBM__XS001_MOM_255_0,UNI_LGBM__XS001_MOM_255_0,RAW__XS001_MOM_255_0,monthly,-0.0034429471002274965,0.769246150769846,-0.006722399427625305,0.6150769846030794,1.0,1.0
PAIR__UNI_LGBM__XS002_MOM_12_1,UNI_LGBM__XS002_MOM_12_1,RAW__XS002_MOM_12_1,monthly,-0.005239339929604336,0.9014197160567886,-0.012243553322900159,0.6936612677464508,1.0,1.0
PAIR__UNI_LGBM__XS003_MOM_12_7,UNI_LGBM__XS003_MOM_12_7,RAW__XS003_MOM_12_7,monthly,-0.006525545634311115,0.9412117576484703,0.0028040169174531147,0.4547090581883623,1.0,1.0
PAIR__UNI_LGBM__XS004_HIGH_52W,UNI_LGBM__XS004_HIGH_52W,RAW__XS004_HIGH_52W,monthly,-0.0015466235039140333,0.6910617876424715,-0.013291248488758624,0.7310537892421516,1.0,1.0
PAIR__UNI_LGBM__XS007_ST_REV_21,UNI_LGBM__XS007_ST_REV_21,RAW__XS007_ST_REV_21,monthly,0.0009148386255591609,0.40951809638072384,0.0087558783276409,0.21115776844631073,1.0,1.0
PAIR__UNI_LGBM__XS008_SAME_MONTH_5Y,UNI_LGBM__XS008_SAME_MONTH_5Y,RAW__XS008_SAME_MONTH_5Y,monthly,,1.0,,1.0,1.0,1.0
PAIR__UNI_LGBM__XS013_LOW_BETA_FP,UNI_LGBM__XS013_LOW_BETA_FP,RAW__XS013_LOW_BETA_FP,monthly,,1.0,,1.0,1.0,1.0
PAIR__UNI_LGBM__XS015_MAX_21,UNI_LGBM__XS015_MAX_21,RAW__XS015_MAX_21,monthly,0.004359457649388012,0.03199360127974405,0.012825339272587853,0.17216556688662268,0.6966606678664268,1.0
PAIR__UNI_LGBM__XS018_AMIHUD_252,UNI_LGBM__XS018_AMIHUD_252,RAW__XS018_AMIHUD_252,monthly,0.00421614954520233,0.17956408718256348,-0.003226705466048824,0.5794841031793642,1.0,1.0
PAIR__UNI_LGBM__XS019_PRICE_DELAY_52W,UNI_LGBM__XS019_PRICE_DELAY_52W,RAW__XS019_PRICE_DELAY_52W,monthly,-0.001541935916308956,0.6382723455308938,0.01569871452567162,0.1865626874625075,1.0,1.0
