process_id,frequency,window_type,window_id,periods,relative_log_sum,active_mean
RAW__XS003_MOM_12_7,weekly,calendar_year,2024,53,0.2538100147727707,0.0055918969697142185
RAW__XS003_MOM_12_7,weekly,calendar_year,2025,52,0.16838326845988466,0.003726196811404862
RAW__XS003_MOM_12_7,weekly,calendar_year,2026,25,0.31075705649087865,0.013243062719877604
RAW__XS004_HIGH_52W,monthly,calendar_year,2018,12,0.036486818089032085,0.0026219183274629374
RAW__XS004_HIGH_52W,monthly,calendar_year,2019,12,-0.14307133074164063,-0.013051847083537496
RAW__XS004_HIGH_52W,monthly,calendar_year,2020,12,0.003292513869121952,-0.0030409538788152835
RAW__XS004_HIGH_52W,monthly,calendar_year,2021,12,-0.00815544058144669,-0.0004457371677780893
RAW__XS004_HIGH_52W,monthly,calendar_year,2022,12,0.0204271094285921,0.0015457251551830586
RAW__XS004_HIGH_52W,monthly,calendar_year,2023,12,-0.1194150805613819,-0.010674655299804298
RAW__XS004_HIGH_52W,monthly,calendar_year,2024,12,0.06915099280000933,0.005590159064707538
RAW__XS004_HIGH_52W,monthly,calendar_year,2025,12,-0.06211748181704973,-0.0052743467522222325
RAW__XS004_HIGH_52W,monthly,calendar_year,2026,5,0.002547459633109735,0.0003046739642762031
RAW__XS004_HIGH_52W,weekly,calendar_year,2018,53,-0.15488587682885557,-0.002991299487606971
RAW__XS004_HIGH_52W,weekly,calendar_year,2019,52,-0.16949718633418784,-0.0033292444738371196
RAW__XS004_HIGH_52W,weekly,calendar_year,2020,52,-0.24557145505045425,-0.005411098797092278
RAW__XS004_HIGH_52W,weekly,calendar_year,2021,52,-0.15506629142839987,-0.0030148058104668865
RAW__XS004_HIGH_52W,weekly,calendar_year,2022,52,-0.1918333911045531,-0.003644306808936615
RAW__XS004_HIGH_52W,weekly,calendar_year,2023,52,-0.13041589882356872,-0.0025528324751288643
RAW__XS004_HIGH_52W,weekly,calendar_year,2024,53,-0.14437087849963273,-0.0027584002481091637
RAW__XS004_HIGH_52W,weekly,calendar_year,2025,52,0.024351107448724325,0.00030786630077666064
RAW__XS004_HIGH_52W,weekly,calendar_year,2026,25,0.062119105177050146,0.0028466205122726685
RAW__XS007_ST_REV_21,monthly,calendar_year,2018,12,0.09222157554500793,0.008467609446933819
RAW__XS007_ST_REV_21,monthly,calendar_year,2019,12,0.18971864479459488,0.018913700524439764
RAW__XS007_ST_REV_21,monthly,calendar_year,2020,12,-0.05095547657005354,0.013010361191399339
RAW__XS007_ST_REV_21,monthly,calendar_year,2021,12,0.0781646091418422,0.00777802539100413
RAW__XS007_ST_REV_21,monthly,calendar_year,2022,12,-0.27811648266147765,-0.020252785333352008
RAW__XS007_ST_REV_21,monthly,calendar_year,2023,12,-0.05742551803866147,-0.0027236937546658104
RAW__XS007_ST_REV_21,monthly,calendar_year,2024,12,-0.2176201617099943,-0.018053094307625056
RAW__XS007_ST_REV_21,monthly,calendar_year,2025,12,0.09515033835035505,0.008627082126595381
RAW__XS007_ST_REV_21,monthly,calendar_year,2026,5,-0.028163331201517622,-0.004918090946159914
RAW__XS007_ST_REV_21,weekly,calendar_year,2018,53,0.05173028667015074,0.0011096849211352747
RAW__XS007_ST_REV_21,weekly,calendar_year,2019,52,0.10588657126689835,0.002253717152367293
RAW__XS007_ST_REV_21,weekly,calendar_year,2020,52,0.16622426718071157,0.007403899333645859
RAW__XS007_ST_REV_21,weekly,calendar_year,2021,52,0.005643814330605835,0.0004159652418998196
RAW__XS007_ST_REV_21,weekly,calendar_year,2022,52,-0.13828657494726174,-0.0019774095551947646
RAW__XS007_ST_REV_21,weekly,calendar_year,2023,52,-0.07746905742845117,-0.0012054673855960195
RAW__XS007_ST_REV_21,weekly,calendar_year,2024,53,-0.11511828520673871,-0.0018192549031198302
RAW__XS007_ST_REV_21,weekly,calendar_year,2025,52,0.025221830388617673,0.0009698311536643612
RAW__XS007_ST_REV_21,weekly,calendar_year,2026,25,-0.0710018793053343,-0.002309538581561674
RAW__XS008_SAME_MONTH_5Y,monthly,calendar_year,2018,12,0.014136743595308202,0.0023150100377240523
RAW__XS008_SAME_MONTH_5Y,monthly,calendar_year,2019,12,-0.027524903087384735,-0.0011921266537973652
RAW__XS008_SAME_MONTH_5Y,monthly,calendar_year,2020,12,0.04224859878722416,0.009996446910971318
RAW__XS008_SAME_MONTH_5Y,monthly,calendar_year,2021,12,0.0034862454704534893,0.0005417729965596826
RAW__XS008_SAME_MONTH_5Y,monthly,calendar_year,2022,12,-0.24331115583866997,-0.01726416839956167
RAW__XS008_SAME_MONTH_5Y,monthly,calendar_year,2023,12,0.0064939396152815035,0.0018030032120506985
RAW__XS008_SAME_MONTH_5Y,monthly,calendar_year,2024,12,-0.02506226299764213,-0.0017340922533247334
RAW__XS008_SAME_MONTH_5Y,monthly,calendar_year,2025,12,-0.09166281764952723,-0.006452964023177216
RAW__XS008_SAME_MONTH_5Y,monthly,calendar_year,2026,5,0.14945262918399577,0.03280972614691617
RAW__XS008_SAME_MONTH_5Y,weekly,calendar_year,2018,53,-0.003095712812047808,0.00010468619208638198
RAW__XS008_SAME_MONTH_5Y,weekly,calendar_year,2019,52,-0.09040963189099659,-0.0016040780300590218
RAW__XS008_SAME_MONTH_5Y,weekly,calendar_year,2020,52,-0.0651941878972036,-0.0004101114581771451
RAW__XS008_SAME_MONTH_5Y,weekly,calendar_year,2021,52,-0.013434186554371251,9.573345973832602e-05
RAW__XS008_SAME_MONTH_5Y,weekly,calendar_year,2022,52,-0.3604501288618096,-0.0063092324216394375
RAW__XS008_SAME_MONTH_5Y,weekly,calendar_year,2023,52,-0.0353862143044108,-0.0005669820715701857
RAW__XS008_SAME_MONTH_5Y,weekly,calendar_year,2024,53,-0.016576668519514805,0.0001091592081531228
RAW__XS008_SAME_MONTH_5Y,weekly,calendar_year,2025,52,-0.06804106757127856,-0.0009676498244950704
RAW__XS008_SAME_MONTH_5Y,weekly,calendar_year,2026,25,0.047882419573344784,0.0021861132831112063
RAW__XS013_LOW_BETA_FP,monthly,calendar_year,2018,12,0.14311308036869086,0.011262800384930957
