process_id,frequency,period,periods,relative_log_sum,active_mean
UNI_LGBM__XS003_MOM_12_7,monthly,2018_2021,48,0.06006399585956562,0.0014244228354885226
UNI_LGBM__XS003_MOM_12_7,monthly,2022_2026h1,53,0.29521567144913063,0.006510417022172856
UNI_LGBM__XS003_MOM_12_7,monthly,full,101,0.3552796673086963,0.004093310874045648
UNI_LGBM__XS003_MOM_12_7,weekly,2018_2021,209,-0.38452544528815213,-0.0018166473308680714
UNI_LGBM__XS003_MOM_12_7,weekly,2022_2026h1,234,0.3575656903469102,0.001808585562870859
UNI_LGBM__XS003_MOM_12_7,weekly,full,443,-0.02695975494124181,9.826124054255995e-05
UNI_LGBM__XS004_HIGH_52W,monthly,2018_2021,48,-0.05921774568046537,-0.0017144152811720732
UNI_LGBM__XS004_HIGH_52W,monthly,2022_2026h1,53,-0.2978456680965058,-0.005321449618260844
UNI_LGBM__XS004_HIGH_52W,monthly,full,101,-0.3570634137769712,-0.0036072154778622203
UNI_LGBM__XS004_HIGH_52W,weekly,2018_2021,209,-0.5764982864978426,-0.0027745216550441785
UNI_LGBM__XS004_HIGH_52W,weekly,2022_2026h1,234,-0.34526121924358266,-0.0012309951916693676
UNI_LGBM__XS004_HIGH_52W,weekly,full,443,-0.9217595057414254,-0.001959205193577574
UNI_LGBM__XS007_ST_REV_21,monthly,2018_2021,48,-0.013937152268612293,0.0036957001936338274
UNI_LGBM__XS007_ST_REV_21,monthly,2022_2026h1,53,-0.07068994889981686,-0.0008764332637700145
UNI_LGBM__XS007_ST_REV_21,monthly,full,101,-0.08462710116842911,0.001296461844699138
UNI_LGBM__XS007_ST_REV_21,weekly,2018_2021,209,-0.1361161523953656,-0.0006289150096833221
UNI_LGBM__XS007_ST_REV_21,weekly,2022_2026h1,234,-0.0834661764567904,-9.556096580840263e-05
UNI_LGBM__XS007_ST_REV_21,weekly,full,443,-0.21958232885215598,-0.000347188494408534
UNI_LGBM__XS015_MAX_21,monthly,2018_2021,48,-0.06949994049079082,-0.0017734852694847036
UNI_LGBM__XS015_MAX_21,monthly,2022_2026h1,53,0.07122876200206878,0.001283781734897149
UNI_LGBM__XS015_MAX_21,monthly,full,101,0.001728821511277968,-0.00016917684144274138
UNI_LGBM__XS015_MAX_21,weekly,2018_2021,209,-0.3942221119288074,-0.001809460602152938
UNI_LGBM__XS015_MAX_21,weekly,2022_2026h1,234,-0.32627757850724814,-0.0013156702983794385
UNI_LGBM__XS015_MAX_21,weekly,full,443,-0.7204996904360557,-0.001548632315283866
UNI_LGBM__XS018_AMIHUD_252,monthly,2018_2021,48,0.183428999514486,0.0034176719044341566
UNI_LGBM__XS018_AMIHUD_252,monthly,2022_2026h1,53,-0.24566239303465917,-0.004179710268467843
UNI_LGBM__XS018_AMIHUD_252,monthly,full,101,-0.06223339352017315,-0.000569073196197586
UNI_LGBM__XS018_AMIHUD_252,weekly,2018_2021,209,-0.12035857314081744,-0.0006120333671329074
UNI_LGBM__XS018_AMIHUD_252,weekly,2022_2026h1,234,-0.18166454359971745,-0.0006563552157691507
UNI_LGBM__XS018_AMIHUD_252,weekly,full,443,-0.30202311674053495,-0.000635444907947537
UNI_LGBM__XS019_PRICE_DELAY_52W,monthly,2018_2021,48,-0.2808548940684558,-0.005378011163511352
UNI_LGBM__XS019_PRICE_DELAY_52W,monthly,2022_2026h1,53,-0.2717645065405455,-0.004965543539984716
UNI_LGBM__XS019_PRICE_DELAY_52W,monthly,full,101,-0.5526194006090013,-0.005161567757106286
UNI_LGBM__XS019_PRICE_DELAY_52W,weekly,2018_2021,209,-0.2542430696898742,-0.001236517242323938
UNI_LGBM__XS019_PRICE_DELAY_52W,weekly,2022_2026h1,234,-0.5845737742906147,-0.002511780118344396
UNI_LGBM__XS019_PRICE_DELAY_52W,weekly,full,443,-0.838816843980489,-0.0019101323957974982
UNI_LGBM__XS020_VOLUME_SHOCK_50D,monthly,2018_2021,48,-0.09177932826061107,-0.0011651195131266608
UNI_LGBM__XS020_VOLUME_SHOCK_50D,monthly,2022_2026h1,53,-0.017871487971160414,-0.00032672392125834577
UNI_LGBM__XS020_VOLUME_SHOCK_50D,monthly,full,101,-0.10965081623177145,-0.0007251693510571489
UNI_LGBM__XS020_VOLUME_SHOCK_50D,weekly,2018_2021,209,-0.5935792516577315,-0.002624757592211323
UNI_LGBM__XS020_VOLUME_SHOCK_50D,weekly,2022_2026h1,234,-0.45734004453953647,-0.0019335053604538422
UNI_LGBM__XS020_VOLUME_SHOCK_50D,weekly,full,443,-1.050919296197268,-0.0022596266165200124
UNI_LGBM__XS032_GROSS_PROFIT_AT,monthly,2018_2021,48,0.014872025324811577,0.0005454396955984741
UNI_LGBM__XS032_GROSS_PROFIT_AT,monthly,2022_2026h1,53,-0.03123270495575957,-0.0004303701284368216
UNI_LGBM__XS032_GROSS_PROFIT_AT,monthly,full,101,-0.016360679630947964,3.338107506510109e-05
UNI_LGBM__XS032_GROSS_PROFIT_AT,weekly,2018_2021,209,0.03744323235042301,0.00024875933082394087
UNI_LGBM__XS032_GROSS_PROFIT_AT,weekly,2022_2026h1,234,0.13413679060543876,0.0005945200626646992
UNI_LGBM__XS032_GROSS_PROFIT_AT,weekly,full,443,0.17158002295586186,0.00043139592506939787
UNI_LGBM__XS041_ASSET_GROWTH,monthly,2018_2021,48,0.05999118514100309,0.0012205239890699822
UNI_LGBM__XS041_ASSET_GROWTH,monthly,2022_2026h1,53,-0.18696806153804055,-0.003166038929934553
UNI_LGBM__XS041_ASSET_GROWTH,monthly,full,101,-0.12697687639703747,-0.001081335760506655
UNI_LGBM__XS041_ASSET_GROWTH,weekly,2018_2021,209,0.21167326746716691,0.0010333380769869083
UNI_LGBM__XS041_ASSET_GROWTH,weekly,2022_2026h1,234,-0.27159269522046714,-0.0010592008451540686
UNI_LGBM__XS041_ASSET_GROWTH,weekly,full,443,-0.059919427753300225,-7.197593606272735e-05
UNI_LGBM__XS056_CFO_ACCRUALS_PT,monthly,2018_2021,48,0.21709431398237863,0.004714899102067631
UNI_LGBM__XS056_CFO_ACCRUALS_PT,monthly,2022_2026h1,53,0.03136078677224241,0.000930264784975167
UNI_LGBM__XS056_CFO_ACCRUALS_PT,monthly,full,101,0.24845510075462104,0.0027289028762666353
UNI_LGBM__XS056_CFO_ACCRUALS_PT,weekly,2018_2021,209,-0.14351245748945266,-0.0006037611967646671
UNI_LGBM__XS056_CFO_ACCRUALS_PT,weekly,2022_2026h1,234,-0.16642946644151882,-0.0005635103107277871
UNI_LGBM__XS056_CFO_ACCRUALS_PT,weekly,full,443,-0.30994192393097153,-0.0005825000063975566
UNI_RIDGE__XS001_MOM_255_0,monthly,2018_2021,48,-0.15676863270124874,0.004351286090678565
UNI_RIDGE__XS001_MOM_255_0,monthly,2022_2026h1,53,-0.146830656876937,-0.0001389341858253974
UNI_RIDGE__XS001_MOM_255_0,monthly,full,101,-0.3035992895781858,0.0019950318861764855
UNI_RIDGE__XS001_MOM_255_0,weekly,2018_2021,209,-0.03785601492639269,-0.00010258615023069518
UNI_RIDGE__XS001_MOM_255_0,weekly,2022_2026h1,234,0.32487434033748563,0.002064635235706012
UNI_RIDGE__XS001_MOM_255_0,weekly,full,443,0.28701832541109307,0.001042176387713299
UNI_RIDGE__XS002_MOM_12_1,monthly,2018_2021,48,0.1554218018379772,0.009015533078102043
UNI_RIDGE__XS002_MOM_12_1,monthly,2022_2026h1,53,0.053294727677552334,0.0035312850631771756
UNI_RIDGE__XS002_MOM_12_1,monthly,full,101,0.20871652951552944,0.006137660357398895
UNI_RIDGE__XS002_MOM_12_1,weekly,2018_2021,209,-0.17353653986184647,-0.0006947164535797684
UNI_RIDGE__XS002_MOM_12_1,weekly,2022_2026h1,234,0.1246306666112949,0.0012322854968477453
UNI_RIDGE__XS002_MOM_12_1,weekly,full,443,-0.04890587325055151,0.0003231581658334104
UNI_RIDGE__XS003_MOM_12_7,monthly,2018_2021,48,-0.056073056908369556,0.004489385728655366
UNI_RIDGE__XS003_MOM_12_7,monthly,2022_2026h1,53,0.03706553479660371,0.002992364042135228
UNI_RIDGE__XS003_MOM_12_7,monthly,full,101,-0.0190075221117659,0.0037038198931546996
UNI_RIDGE__XS003_MOM_12_7,weekly,2018_2021,209,0.15855484648658882,0.0008807553542173762
UNI_RIDGE__XS003_MOM_12_7,weekly,2022_2026h1,234,0.5727047055056718,0.003056671022091254
UNI_RIDGE__XS003_MOM_12_7,weekly,full,443,0.7312595519922607,0.0020301103571123817
UNI_RIDGE__XS004_HIGH_52W,monthly,2018_2021,48,-0.28854279710275743,-0.0005740239921725963
UNI_RIDGE__XS004_HIGH_52W,monthly,2022_2026h1,53,-0.46220962689684875,-0.007126515007640067
UNI_RIDGE__XS004_HIGH_52W,monthly,full,101,-0.7507524239996062,-0.004012459871576319
UNI_RIDGE__XS004_HIGH_52W,weekly,2018_2021,209,-0.35178932621650844,-0.001770110118162607
UNI_RIDGE__XS004_HIGH_52W,weekly,2022_2026h1,234,-0.14084877475086693,6.106026869613633e-05
UNI_RIDGE__XS004_HIGH_52W,weekly,full,443,-0.49263810096737537,-0.00080285533142458
UNI_RIDGE__XS007_ST_REV_21,monthly,2018_2021,48,0.3091493529113915,0.012042424138444264
UNI_RIDGE__XS007_ST_REV_21,monthly,2022_2026h1,53,0.017988510818260223,0.0023160916435713747
UNI_RIDGE__XS007_ST_REV_21,monthly,full,101,0.3271378637296518,0.006938507086679283
UNI_RIDGE__XS007_ST_REV_21,weekly,2018_2021,209,0.3294849394483664,0.002787749046275809
UNI_RIDGE__XS007_ST_REV_21,weekly,2022_2026h1,234,-0.3766539664991684,-0.0011505869886109694
UNI_RIDGE__XS007_ST_REV_21,weekly,full,443,-0.04716902705080189,0.0007074541655455468
UNI_RIDGE__XS015_MAX_21,monthly,2018_2021,48,-0.23594578336592742,-0.005541316449458644
UNI_RIDGE__XS015_MAX_21,monthly,2022_2026h1,53,0.2109485466546968,0.004015071487149116
