process_id,frequency,economic_mean,economic_p,mean_rank_ic,rank_ic_p,economic_q,rank_ic_q
FO_LGBM__ROLE5,weekly,,1.0,,1.0,1.0,1.0
FO_RIDGE__ALL14,weekly,-3.591247115225641e-05,0.5200959808038392,0.006918704699966079,0.16936612677464508,1.0,0.6514907544806828
FO_LGBM__ALL14,weekly,,1.0,,1.0,1.0,1.0
FS_RIDGE__ROLE5_S2,weekly,0.0010409176889404521,0.1967606478704259,0.019540499067821914,0.027794441111777646,1.0,0.33489302139572086
FS_LGBM__ROLE5_S2,weekly,,1.0,,1.0,1.0,1.0
FS_RIDGE__ALL14_S6,weekly,-0.0017478763843448745,0.9876024795040992,0.009282228897351894,0.15616876624675066,1.0,0.6514907544806828
FS_LGBM__ALL14_S6,weekly,,1.0,,1.0,1.0,1.0
RAW__XS001_MOM_255_0,monthly,0.007948009689688748,0.046790641871625675,0.010257197186646078,0.29474105178964205,1.0,0.8880140638538959
RAW__XS002_MOM_12_1,monthly,0.00541487944841203,0.11097780443911218,0.0076998889489805185,0.33973205358928216,1.0,0.8880140638538959
RAW__XS003_MOM_12_7,monthly,0.010043166102714045,0.012997400519896021,0.008564724589226733,0.3261347730453909,0.6888622275544891,0.8880140638538959
RAW__XS004_HIGH_52W,monthly,-0.001988657820610433,0.7746450709858028,0.0054462372704418335,0.3815236952609478,1.0,0.8880140638538959
RAW__XS007_ST_REV_21,monthly,-0.0017527307163356877,0.6404719056188762,-0.0011193407114760726,0.5406918616276745,1.0,0.9627511997600479
RAW__XS008_SAME_MONTH_5Y,monthly,-0.0017004255734748618,0.667866426714657,-0.001154288759881969,0.5310937812437513,1.0,0.9627511997600479
RAW__XS013_LOW_BETA_FP,monthly,-0.005179629873137103,0.885622875424915,-0.020320687914370295,0.7796440711857628,1.0,1.0
RAW__XS015_MAX_21,monthly,-0.0043423406047218924,0.9494101179764047,-0.010116305626526989,0.7140571885622875,1.0,1.0
RAW__XS018_AMIHUD_252,monthly,-0.004832321758273352,0.9500099980003999,-0.009613521717333505,0.7768446310737852,1.0,1.0
RAW__XS019_PRICE_DELAY_52W,monthly,-0.003929543297641552,0.876624675064987,-0.013989478444068103,0.8240351929614077,1.0,1.0
RAW__XS020_VOLUME_SHOCK_50D,monthly,0.00033111672785938686,0.4385122975404919,0.012096861861049728,0.09438112377524495,1.0,0.8880140638538959
RAW__XS032_GROSS_PROFIT_AT,monthly,-0.00040438307888763966,0.5770845830833833,0.011048991573201784,0.16436712657468505,1.0,0.8880140638538959
RAW__XS041_ASSET_GROWTH,monthly,0.0038815539948396415,0.09938012397520496,-0.0011713605665970722,0.5566886622675465,1.0,0.9627511997600479
RAW__XS056_CFO_ACCRUALS_PT,monthly,0.0033741678320125825,0.19016196760647872,-0.0012199515482089584,0.5812837432513497,1.0,0.9627511997600479
UNI_RIDGE__XS001_MOM_255_0,monthly,-0.003005933560180058,0.6716656668666267,-0.01857362557639848,0.8070385922815437,1.0,1.0
UNI_RIDGE__XS002_MOM_12_1,monthly,0.0020665002922329646,0.3705258948210358,-0.002963515426887318,0.5504899020195961,1.0,0.9627511997600479
UNI_RIDGE__XS003_MOM_12_7,monthly,-0.00018819328823530595,0.5070985802839432,0.005879435424377738,0.3779244151169766,1.0,0.8880140638538959
UNI_RIDGE__XS004_HIGH_52W,monthly,-0.0074331923168277836,0.8674265146970606,-0.017033075308024965,0.7880423915216956,1.0,1.0
UNI_RIDGE__XS007_ST_REV_21,monthly,0.0032389887497985327,0.23655268946210758,0.02225703165308637,0.0683863227354529,1.0,0.8880140638538959
UNI_RIDGE__XS008_SAME_MONTH_5Y,monthly,,1.0,,1.0,1.0,1.0
UNI_RIDGE__XS013_LOW_BETA_FP,monthly,,1.0,,1.0,1.0,1.0
