factor_id,frequency,pair_id,outcome,interaction_sign,bh_q,sample_gate_passed,leave_one_year_out_estimable,leave_one_year_out_direction_fraction,maximum_single_year_absolute_contribution_fraction,topk_widths_same_direction,top20_same_direction,twenty_bps_same_direction,base_stability_passed,replicated,context_label
XS032_GROSS_PROFIT_AT,weekly,trend_x_volatility,active_return,1,1.0,False,0,0.0,0.4186411641154788,2,True,True,False,False,none
XS032_GROSS_PROFIT_AT,weekly,trend_x_volatility,rank_ic,1,1.0,False,0,0.0,0.36033672740114353,3,True,True,False,False,none
XS032_GROSS_PROFIT_AT,weekly,breadth_x_volatility,active_return,1,1.0,False,0,0.0,0.31109460466284006,3,True,True,False,False,none
XS032_GROSS_PROFIT_AT,weekly,breadth_x_volatility,rank_ic,1,1.0,False,0,0.0,0.27176976962838345,3,True,True,False,False,none
XS032_GROSS_PROFIT_AT,weekly,dispersion_x_correlation,active_return,-1,1.0,False,0,0.0,0.3268776072673216,3,True,True,False,False,none
XS032_GROSS_PROFIT_AT,weekly,dispersion_x_correlation,rank_ic,-1,1.0,False,0,0.0,0.3046322658485547,3,True,True,False,False,none
XS041_ASSET_GROWTH,monthly,trend_x_volatility,active_return,1,1.0,False,0,0.0,0.2107279338328498,3,True,True,False,False,none
XS041_ASSET_GROWTH,monthly,trend_x_volatility,rank_ic,1,1.0,False,0,0.0,0.26743346280134245,3,True,True,False,False,none
XS041_ASSET_GROWTH,monthly,breadth_x_volatility,active_return,-1,1.0,False,0,0.0,0.5313642176918867,3,True,True,False,False,none
XS041_ASSET_GROWTH,monthly,breadth_x_volatility,rank_ic,-1,1.0,False,0,0.0,0.5354306049614292,3,True,True,False,False,none
XS041_ASSET_GROWTH,monthly,dispersion_x_correlation,active_return,-1,1.0,False,0,0.0,0.4860583710534339,2,True,True,False,False,none
XS041_ASSET_GROWTH,monthly,dispersion_x_correlation,rank_ic,1,1.0,False,0,0.0,0.6407011128540289,3,True,True,False,False,none
XS041_ASSET_GROWTH,weekly,trend_x_volatility,active_return,1,1.0,False,0,0.0,0.25930905106784136,3,True,True,False,False,none
XS041_ASSET_GROWTH,weekly,trend_x_volatility,rank_ic,1,1.0,False,0,0.0,0.270899466754761,3,True,True,False,False,none
XS041_ASSET_GROWTH,weekly,breadth_x_volatility,active_return,-1,1.0,False,0,0.0,0.42298828339326655,3,True,True,False,False,none
XS041_ASSET_GROWTH,weekly,breadth_x_volatility,rank_ic,-1,1.0,False,0,0.0,0.2945717222873013,3,True,True,False,False,none
XS041_ASSET_GROWTH,weekly,dispersion_x_correlation,active_return,1,1.0,False,0,0.0,0.29874968768590504,3,True,True,False,False,none
XS041_ASSET_GROWTH,weekly,dispersion_x_correlation,rank_ic,-1,1.0,False,0,0.0,0.2667081518788409,3,True,True,False,False,none
XS056_CFO_ACCRUALS_PT,monthly,trend_x_volatility,active_return,-1,1.0,False,0,0.0,0.2183322819146194,2,True,True,False,False,none
XS056_CFO_ACCRUALS_PT,monthly,trend_x_volatility,rank_ic,-1,1.0,False,0,0.0,0.3727253013636663,3,True,True,False,False,none
XS056_CFO_ACCRUALS_PT,monthly,breadth_x_volatility,active_return,-1,1.0,False,0,0.0,0.5824087069703966,3,True,True,False,False,none
XS056_CFO_ACCRUALS_PT,monthly,breadth_x_volatility,rank_ic,-1,1.0,False,0,0.0,0.5331284941565472,3,True,True,False,False,none
XS056_CFO_ACCRUALS_PT,monthly,dispersion_x_correlation,active_return,-1,1.0,False,0,0.0,0.45829354801673405,3,True,True,False,False,none
XS056_CFO_ACCRUALS_PT,monthly,dispersion_x_correlation,rank_ic,1,1.0,False,0,0.0,0.5493718438262319,3,True,True,False,False,none
XS056_CFO_ACCRUALS_PT,weekly,trend_x_volatility,active_return,-1,1.0,False,0,0.0,0.24467064450215356,2,True,True,False,False,none
XS056_CFO_ACCRUALS_PT,weekly,trend_x_volatility,rank_ic,1,1.0,False,0,0.0,0.5219098463409009,3,True,True,False,False,none
XS056_CFO_ACCRUALS_PT,weekly,breadth_x_volatility,active_return,-1,1.0,False,0,0.0,0.2081411503597617,3,True,True,False,False,none
XS056_CFO_ACCRUALS_PT,weekly,breadth_x_volatility,rank_ic,1,1.0,False,0,0.0,0.2529410995175816,3,True,True,False,False,none
XS056_CFO_ACCRUALS_PT,weekly,dispersion_x_correlation,active_return,1,1.0,False,0,0.0,0.2165437151730271,3,True,True,False,False,none
XS056_CFO_ACCRUALS_PT,weekly,dispersion_x_correlation,rank_ic,1,1.0,False,0,0.0,0.5138543260083046,3,True,True,False,False,none
